topology,qi,match,tokens,diameter,avg_degree,structural_entropy,spectral_gap,task_centrality,n_agents
ba_3_m1_s5,36,0,813,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,37,0,31089,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,38,0,37725,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,39,0,5346,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,40,0,31718,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,41,0,6377,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,42,1,18992,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,43,0,12148,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,44,0,41331,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,45,0,88935,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,46,0,7899,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,47,0,5674,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,48,0,2028,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,49,1,15585,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,50,0,94512,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,51,0,45762,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,52,0,156685,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,53,0,1482,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,54,0,20501,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,55,0,2743,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,56,0,2359,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,57,0,7705,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,58,0,20730,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,59,0,5392,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,60,1,3508,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,61,0,8972,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,62,0,2700,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,63,0,89362,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,64,0,5603,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,65,0,2271,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,66,0,18468,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,67,0,20216,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,68,1,3532,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,69,0,3946,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,70,0,5793,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,71,0,21570,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,72,0,15360,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,73,0,2293,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,74,0,6341,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,75,0,8012,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
ba_3_m1_s5,76,0,22843,1.6666666666666667,0.75,1.9182958340544893,0.5000000000000002,0.0,3
